DATE,GDP
19470101,243.164
19470401,245.968
19470701,249.585
19471001,259.745
19480101,265.742
19480401,272.567
19480701,279.196
19481001,280.366
19490101,275.034
19490401,271.351
19490701,272.889
19491001,270.627
19500101,280.828
19500401,290.383
19500701,308.153
19501001,319.945
19510101,336.0
19510401,344.09
19510701,351.385
19511001,356.178
19520101,359.82
19520401,361.03
19520701,367.701
19521001,380.812
19530101,387.98
19530401,391.749
19530701,391.171
19531001,385.97
19540101,385.345
19540401,386.121
19540701,390.996
19541001,399.734
19550101,413.073
19550401,421.532
19550701,430.221
19551001,437.092
19560101,439.746
19560401,446.01
19560701,451.191
19561001,460.463
19570101,469.779
19570401,472.025
19570701,479.49
19571001,474.864
19580101,467.54
19580401,471.978
19580701,485.841
19581001,499.555
19590101,510.33
19590401,522.653
19590701,525.034
19591001,528.6
19600101,542.648
19600401,541.08
19600701,545.604
19601001,540.197
19610101,545.018
19610401,555.545
19610701,567.664
19611001,580.612
19620101,594.013
19620401,600.366
19620701,609.027
19621001,612.28
19630101,621.672
19630401,629.752
19630701,644.444
19631001,653.938
19640101,669.822
19640401,678.674
19640701,692.031
19641001,697.319
19650101,717.79
19650401,730.191
19650701,749.323
19651001,771.857
19660101,795.734
19660401,804.981
19660701,819.638
19661001,833.302
19670101,844.17
19670401,848.983
19670701,865.233
19671001,881.439
19680101,909.387
19680401,934.344
19680701,950.825
19681001,968.03
19690101,993.337
19690401,1009.02
19690701,1029.956
19691001,1038.147
19700101,1051.2
19700401,1067.375
19700701,1086.059
19701001,1088.608
19710101,1135.156
19710401,1156.271
19710701,1177.675
19711001,1190.297
19720101,1230.609
19720401,1266.369
19720701,1290.566
19721001,1328.904
19730101,1377.49
19730401,1413.887
19730701,1433.838
19731001,1476.289
19740101,1491.209
19740401,1530.056
19740701,1560.026
19741001,1599.679
19750101,1616.116
19750401,1651.853
19750701,1709.82
19751001,1761.831
19760101,1820.487
19760401,1852.332
19760701,1886.558
19761001,1934.273
19770101,1988.648
19770401,2055.909
19770701,2118.473
19771001,2164.27
19780101,2202.76
19780401,2331.633
19780701,2395.053
19781001,2476.949
19790101,2526.61
19790401,2591.247
19790701,2667.565
19791001,2723.883
19800101,2789.842
19800401,2797.352
19800701,2856.483
19801001,2985.557
19810101,3124.206
19810401,3162.532
19810701,3260.609
19811001,3280.818
19820101,3274.302
19820401,3331.972
19820701,3366.322
19821001,3402.561
19830101,3473.413
19830401,3578.848
19830701,3689.179
19831001,3794.706
19840101,3908.054
19840401,4009.601
19840701,4084.25
19841001,4148.551
19850101,4230.168
19850401,4294.887
19850701,4386.773
19851001,4444.094
19860101,4507.894
19860401,4545.34
19860701,4607.669
19861001,4657.627
19870101,4722.156
19870401,4806.16
19870701,4884.555
19871001,5007.994
19880101,5073.372
19880401,5190.036
19880701,5282.835
19881001,5399.509
19890101,5511.253
19890401,5612.463
19890701,5695.365
19891001,5747.237
19900101,5872.701
19900401,5960.028
19900701,6015.116
19901001,6004.733
19910101,6035.178
19910401,6126.862
19910701,6205.937
19911001,6264.54
19920101,6363.102
19920401,6470.763
19920701,6566.641
19921001,6680.803
19930101,6729.459
19930401,6808.939
19930701,6882.098
19931001,7013.738
19940101,7115.652
19940401,7246.931
19940701,7331.075
19941001,7455.288
19950101,7522.289
19950401,7580.997
19950701,7683.125
19951001,7772.586
19960101,7868.468
19960401,8032.84
19960701,8131.408
19961001,8259.771
19970101,8362.655
19970401,8518.825
19970701,8662.823
19971001,8765.907
19980101,8866.48
19980401,8969.699
19980701,9121.097
19981001,9293.991
19990101,9417.264
19990401,9524.152
19990701,9681.856
19991001,9899.378
20000101,10002.857
20000401,10247.679
20000701,10319.825
20001001,10439.025
20010101,10472.879
20010401,10597.822
20010701,10596.294
20011001,10660.294
20020101,10788.952
20020401,10893.207
20020701,10992.051
20021001,11071.463
20030101,11183.507
20030401,11312.875
20030701,11567.326
20031001,11769.275
20040101,11920.169
20040401,12108.987
20040701,12303.34
20041001,12522.425
20050101,12761.337
20050401,12910.022
20050701,13142.873
20051001,13332.316
20060101,13603.933
20060401,13749.806
20060701,13867.469
20061001,14037.228
20070101,14208.569
20070401,14382.363
20070701,14535.003
20071001,14681.501
20080101,14651.039
20080401,14805.611
20080701,14835.187
20081001,14559.543
20090101,14394.547
20090401,14352.85
20090701,14420.312
20091001,14628.021
20100101,14721.35
20100401,14926.098
20100701,15079.917
20101001,15240.843
20110101,15285.828
20110401,15496.189
20110701,15591.85
20111001,15796.46
20120101,16019.758
20120401,16152.257
20120701,16257.151
20121001,16358.863
20130101,16569.591
20130401,16637.926
20130701,16848.748
20131001,17083.137
20140101,17104.555
20140401,17432.909
20140701,17721.657
20141001,17849.912
20150101,17984.178
20150401,18219.405
20150701,18344.713
20151001,18350.825
20160101,18424.283
20160401,18637.253
20160701,18806.743
20161001,18991.883
20170101,19190.431
20170401,19356.649
20170701,19611.704
20171001,19918.91
20180101,20163.159
20180401,20510.177
20180701,20749.752
20181001,20897.804
20190101,21098.827
20190401,21339.121
