iter	MultiClass
0	1.358995539
1	1.334665805
2	1.311204256
3	1.290281908
4	1.272872658
5	1.257691362
6	1.245103634
7	1.235147996
8	1.224233815
9	1.215035276
10	1.205992696
11	1.198466689
12	1.191969209
13	1.185601934
14	1.180594839
15	1.174992997
16	1.169948833
17	1.165990205
18	1.162382186
19	1.158802296
20	1.154708489
21	1.152011612
22	1.149409109
23	1.145712206
24	1.142489964
25	1.139087507
26	1.136159796
27	1.13384625
28	1.131383122
29	1.129550737
30	1.126820524
31	1.123871699
32	1.121956993
33	1.119806013
34	1.117391549
35	1.11530853
36	1.113535553
37	1.111201058
38	1.109532091
39	1.10751266
40	1.105433017
41	1.103673424
42	1.101075134
43	1.100435122
44	1.098774187
45	1.097057385
46	1.095720426
47	1.093453508
48	1.091471253
49	1.090537461
50	1.089046705
51	1.087341331
52	1.086282167
53	1.084533036
54	1.082474159
55	1.080723455
56	1.079715907
57	1.078006056
58	1.076471924
59	1.075601321
60	1.073696443
61	1.072343485
62	1.071059171
63	1.069929246
64	1.06831242
65	1.067433709
66	1.06618554
67	1.064868596
68	1.063600497
69	1.062334851
70	1.061244493
71	1.059896956
72	1.059098351
73	1.057867303
74	1.056440668
75	1.055089533
76	1.053619478
77	1.052121158
78	1.051087067
79	1.049815889
80	1.049039124
81	1.048019104
82	1.047177699
83	1.046526379
84	1.045692641
85	1.043987418
86	1.042877383
87	1.041673154
88	1.040912421
89	1.039529981
90	1.037825353
91	1.036369299
92	1.035622468
93	1.034391631
94	1.033128966
95	1.032170195
96	1.031225155
97	1.030092064
98	1.028837564
99	1.027871018
100	1.027315318
101	1.026799613
102	1.026088319
103	1.02517018
104	1.024321272
105	1.023077973
106	1.021672369
107	1.021210519
108	1.020077693
109	1.018958374
110	1.017591211
111	1.016448544
112	1.015470836
113	1.014381349
114	1.013053844
115	1.011883062
116	1.010587133
117	1.009788657
118	1.008613107
119	1.007455735
120	1.005904928
121	1.004977683
122	1.003568548
123	1.002592478
124	1.001918324
125	1.000181243
126	0.9989826446
127	0.9976631811
128	0.9967145371
129	0.9960089434
130	0.9949039899
131	0.9937651925
132	0.9927201959
133	0.9913459062
134	0.9901327862
135	0.9895728849
136	0.9888228197
137	0.9878211504
138	0.9865793688
139	0.9857074538
140	0.9844420651
141	0.9828363018
142	0.9817003245
143	0.9808799829
144	0.980380265
145	0.9797708971
146	0.9785878658
147	0.9780805274
148	0.9772420491
149	0.9764607312
150	0.975000452
151	0.9738775223
152	0.973026004
153	0.972167199
154	0.9714138072
