iter	Passed	Remaining
0	10	10143
1	20	10231
2	30	10070
3	40	9977
4	49	9866
5	59	9827
6	69	9885
7	79	9875
8	89	9888
9	99	9874
10	109	9832
11	118	9790
12	127	9716
13	137	9710
14	149	9790
15	159	9828
16	173	10025
17	185	10094
18	194	10060
19	204	10035
20	215	10027
21	224	9972
22	234	9942
23	243	9897
24	252	9841
25	261	9814
26	270	9762
27	279	9711
28	290	9737
29	299	9680
30	310	9704
31	322	9742
32	333	9770
33	348	9904
34	359	9903
35	368	9863
36	377	9821
37	386	9789
38	395	9746
39	405	9722
40	415	9715
41	429	9790
42	447	9948
43	457	9943
44	467	9918
45	477	9894
46	486	9861
47	495	9831
48	505	9801
49	513	9764
50	526	9803
51	537	9795
52	547	9778
53	556	9750
54	566	9729
55	576	9710
56	584	9673
57	593	9644
58	602	9613
59	612	9588
60	620	9558
61	629	9527
62	638	9503
63	648	9477
64	658	9469
65	667	9440
66	675	9411
67	685	9394
68	695	9378
69	707	9402
70	721	9444
71	733	9451
72	742	9422
73	751	9405
74	760	9378
75	769	9361
76	779	9342
77	788	9323
78	797	9299
79	806	9276
80	815	9252
81	823	9224
82	833	9206
83	842	9182
84	851	9165
85	861	9152
86	870	9139
87	880	9121
88	890	9118
89	901	9119
90	913	9128
91	923	9116
92	933	9104
93	943	9094
94	953	9084
95	963	9068
96	971	9046
97	980	9028
98	990	9010
99	1000	9002
100	1010	8992
101	1018	8969
102	1028	8955
103	1037	8937
104	1046	8918
105	1056	8907
106	1066	8904
107	1077	8901
108	1090	8914
109	1104	8934
110	1115	8937
111	1125	8921
112	1135	8910
113	1144	8892
114	1153	8880
115	1163	8863
116	1171	8844
117	1181	8827
118	1190	8816
119	1199	8799
120	1209	8787
121	1218	8770
122	1227	8755
123	1239	8754
124	1252	8768
125	1267	8790
126	1277	8784
127	1288	8775
128	1297	8763
129	1307	8752
130	1317	8737
131	1326	8722
132	1335	8706
133	1344	8690
134	1354	8678
135	1363	8659
136	1372	8643
137	1381	8629
138	1390	8616
139	1400	8600
140	1409	8587
141	1418	8572
142	1431	8576
143	1442	8573
144	1452	8563
145	1461	8550
146	1471	8538
147	1480	8524
148	1489	8506
149	1497	8487
150	1507	8476
151	1516	8461
152	1526	8447
153	1537	8447
154	1547	8435
155	1556	8423
156	1566	8409
157	1575	8394
158	1584	8379
159	1592	8363
160	1605	8364
161	1615	8357
162	1627	8355
163	1636	8342
164	1645	8327
165	1655	8318
166	1667	8315
167	1677	8308
168	1691	8318
169	1701	8305
170	1712	8301
171	1721	8288
172	1730	8273
173	1739	8257
174	1748	8243
175	1758	8232
176	1767	8220
177	1780	8221
178	1791	8216
179	1802	8213
180	1812	8199
181	1821	8186
182	1830	8171
183	1842	8173
184	1853	8165
185	1862	8152
186	1871	8138
187	1880	8123
188	1889	8107
189	1898	8094
190	1908	8082
191	1917	8068
192	1926	8054
193	1935	8039
194	1944	8028
195	1953	8013
196	1966	8014
197	1977	8010
198	1989	8009
199	2000	8000
200	2009	7988
201	2018	7975
202	2028	7963
203	2038	7952
204	2048	7943
205	2057	7932
206	2067	7919
207	2076	7906
208	2085	7893
209	2095	7882
210	2104	7870
211	2113	7855
212	2122	7842
213	2132	7833
214	2143	7825
215	2154	7821
216	2166	7817
217	2175	7804
218	2184	7792
219	2193	7777
220	2202	7763
221	2211	7751
222	2221	7739
223	2230	7727
224	2239	7714
225	2248	7702
226	2257	7688
227	2267	7676
228	2276	7664
229	2285	7649
230	2294	7636
231	2302	7623
232	2311	7609
233	2323	7605
234	2334	7601
235	2347	7598
236	2356	7585
237	2366	7575
238	2375	7563
239	2385	7554
240	2396	7546
241	2406	7536
242	2418	7533
243	2430	7531
244	2440	7519
245	2450	7511
246	2462	7507
247	2473	7499
248	2483	7489
249	2498	7494
250	2510	7490
251	2524	7492
252	2533	7481
253	2545	7477
254	2557	7471
255	2566	7459
256	2578	7455
257	2591	7451
258	2602	7445
259	2613	7438
260	2627	7439
261	2639	7435
262	2651	7430
263	2662	7423
264	2673	7415
265	2683	7404
266	2692	7392
267	2702	7382
268	2711	7369
269	2721	7359
270	2731	7346
271	2739	7332
272	2748	7320
273	2758	7307
274	2766	7293
275	2775	7280
276	2784	7267
277	2793	7254
278	2802	7241
279	2810	7227
280	2823	7224
281	2835	7219
282	2847	7214
283	2859	7208
284	2868	7197
285	2877	7184
286	2887	7173
287	2895	7158
288	2904	7146
289	2913	7133
290	2922	7121
291	2931	7108
292	2940	7096
293	2949	7082
294	2958	7069
295	2967	7056
296	2976	7045
297	2985	7033
298	2998	7029
299	3009	7022
300	3021	7017
301	3035	7015
302	3045	7006
303	3056	6998
304	3067	6989
305	3078	6981
306	3089	6974
307	3100	6965
308	3110	6954
309	3121	6948
310	3132	6940
311	3142	6930
312	3154	6923
313	3168	6922
314	3181	6918
315	3192	6911
316	3251	7006
317	3276	7027
318	3285	7014
319	3297	7006
320	3306	6995
321	3318	6986
322	3329	6979
323	3343	6976
324	3355	6969
325	3367	6962
326	3381	6960
327	3394	6954
328	3406	6946
329	3416	6936
330	3428	6929
331	3439	6921
332	3450	6910
333	3460	6901
334	3472	6893
335	3482	6882
336	3492	6870
337	3503	6862
338	3513	6850
339	3527	6848
340	3540	6842
341	3552	6835
342	3568	6835
343	3581	6828
344	3590	6816
345	3602	6808
346	3613	6800
347	3623	6788
348	3636	6782
349	3648	6775
350	3659	6765
351	3669	6754
352	3680	6746
353	3690	6735
354	3703	6728
355	3715	6720
356	3727	6714
357	3739	6705
358	3750	6696
359	3760	6684
360	3769	6672
361	3778	6659
362	3788	6647
363	3796	6634
364	3806	6622
365	3816	6611
366	3825	6598
367	3834	6585
368	3844	6573
369	3853	6560
370	3862	6547
371	3871	6535
372	3879	6521
373	3892	6514
374	3903	6505
375	3914	6496
376	3926	6488
377	3937	6479
378	3948	6469
379	3957	6456
380	3969	6448
381	3980	6439
382	3989	6427
383	4002	6420
384	4013	6411
385	4022	6399
386	4033	6389
387	4045	6380
388	4060	6377
389	4071	6368
390	4082	6359
391	4095	6352
392	4112	6351
393	4123	6342
394	4133	6331
395	4145	6323
396	4156	6313
397	4165	6301
398	4177	6292
399	4188	6283
400	4198	6270
401	4209	6262
402	4221	6253
403	4230	6240
404	4244	6236
405	4258	6230
406	4270	6222
407	4283	6215
408	4295	6207
409	4305	6196
410	4315	6183
411	4324	6172
412	4334	6160
413	4343	6147
414	4352	6135
415	4361	6123
416	4371	6111
417	4381	6099
418	4389	6086
419	4399	6075
420	4408	6063
421	4423	6058
422	4435	6050
423	4446	6039
424	4456	6029
425	4467	6019
426	4478	6009
427	4487	5997
428	4496	5984
429	4505	5972
430	4514	5960
431	4525	5950
432	4534	5937
433	4543	5925
434	4553	5914
435	4562	5902
436	4572	5891
437	4581	5879
438	4592	5869
439	4602	5858
440	4614	5849
441	4625	5839
442	4637	5830
443	4648	5821
444	4659	5811
445	4669	5799
446	4678	5787
447	4687	5775
448	4695	5762
449	4704	5750
450	4713	5737
451	4723	5726
452	4732	5714
453	4741	5702
454	4750	5690
455	4760	5678
456	4768	5666
457	4781	5658
458	4792	5649
459	4803	5639
460	4815	5629
461	4827	5621
462	4837	5611
463	4847	5599
464	4857	5588
465	4865	5575
466	4874	5563
467	4883	5551
468	4893	5540
469	4902	5528
470	4912	5517
471	4922	5505
472	4930	5493
473	4940	5482
474	4949	5470
475	4961	5462
476	4973	5453
477	4987	5446
478	4998	5437
479	5010	5428
480	5025	5422
481	5038	5415
482	5054	5410
483	5064	5399
484	5074	5388
485	5084	5377
486	5094	5366
487	5103	5354
488	5112	5342
489	5121	5330
490	5131	5319
491	5143	5310
492	5154	5301
493	5166	5291
494	5177	5282
495	5188	5272
496	5200	5263
497	5210	5251
498	5219	5240
499	5228	5228
500	5237	5216
501	5245	5204
502	5255	5193
503	5265	5181
504	5274	5170
505	5283	5158
506	5293	5146
507	5305	5138
508	5320	5132
509	5330	5121
510	5341	5111
511	5353	5102
512	5364	5092
513	5376	5083
514	5386	5072
515	5396	5061
516	5406	5051
517	5416	5040
518	5425	5028
519	5435	5017
520	5444	5005
521	5453	4993
522	5462	4981
523	5471	4970
524	5481	4959
525	5493	4950
526	5504	4940
527	5515	4930
528	5526	4920
529	5538	4911
530	5550	4902
531	5562	4893
532	5571	4881
533	5580	4869
534	5590	4859
535	5600	4847
536	5609	4836
537	5617	4824
538	5627	4813
539	5636	4801
