iter	Passed	Remaining
0	3	3984
1	7	3753
2	10	3574
3	13	3466
4	16	3382
5	20	3418
6	23	3358
7	27	3357
8	30	3321
9	33	3282
10	34	3138
11	38	3208
12	42	3193
13	45	3169
14	47	3148
15	51	3147
16	54	3163
17	57	3148
18	60	3133
19	63	3120
20	66	3111
21	70	3142
22	73	3134
23	76	3121
24	80	3122
25	83	3112
26	86	3115
27	88	3078
28	91	3067
29	94	3061
30	97	3060
31	101	3062
32	104	3066
33	107	3058
34	110	3051
35	113	3043
36	114	2991
37	118	2993
38	121	2986
39	124	2980
40	127	2978
41	130	2973
42	133	2977
43	137	2979
44	140	2973
45	143	2985
46	147	2981
47	150	2990
48	153	2986
49	156	2980
50	159	2976
51	162	2971
52	166	2978
53	170	2982
54	173	2982
55	176	2976
56	179	2969
57	183	2972
58	186	2967
59	189	2962
60	191	2955
61	194	2949
62	198	2951
63	202	2968
64	207	2986
65	211	2994
66	215	3001
67	219	3010
68	222	3005
69	225	2998
70	228	2992
71	232	3000
72	243	3094
73	246	3090
74	250	3084
75	252	3075
76	255	3067
77	258	3060
78	262	3054
79	265	3057
80	268	3051
81	271	3043
82	274	3037
83	277	3030
84	281	3028
85	284	3021
86	287	3015
87	290	3008
88	293	3001
89	297	3003
90	300	2998
91	303	2991
92	306	2986
93	309	2979
94	312	2976
95	315	2970
96	318	2963
97	321	2957
98	324	2951
99	327	2945
100	331	2947
101	334	2943
102	338	2949
103	342	2950
104	346	2950
105	349	2951
106	352	2945
107	355	2939
108	358	2932
109	362	2935
110	365	2930
111	368	2924
112	371	2918
113	374	2912
114	378	2909
115	381	2905
116	384	2900
117	387	2894
118	390	2887
119	393	2885
120	396	2883
121	399	2877
122	402	2871
123	405	2866
124	408	2860
125	412	2859
126	415	2854
127	418	2848
128	421	2843
129	424	2838
130	428	2839
131	431	2835
132	434	2829
133	437	2824
134	440	2819
135	443	2816
136	446	2811
137	449	2805
138	452	2800
139	455	2797
140	459	2798
141	462	2794
142	465	2789
143	468	2785
144	471	2780
145	474	2778
146	477	2772
147	480	2767
148	483	2762
149	486	2757
150	489	2752
151	493	2753
152	496	2748
153	499	2743
154	502	2740
155	505	2735
156	508	2732
157	511	2728
158	514	2723
159	518	2719
160	521	2715
161	525	2715
162	528	2711
163	530	2706
164	533	2702
165	536	2697
166	540	2694
167	543	2690
168	546	2685
169	549	2681
170	552	2676
171	555	2674
172	558	2672
173	561	2667
